Bank of Thailand
EC_EI_028_S2 : Tourism Indicators
(Unit: as stated)
Last Updated : 
Retrieved date : 
,,JAN 2015 ,FEB 2015 ,MAR 2015 ,APR 2015 ,MAY 2015 ,JUN 2015 ,JUL 2015 ,AUG 2015 ,SEP 2015 ,OCT 2015 ,NOV 2015 ,DEC 2015 ,JAN 2016 ,FEB 2016 ,MAR 2016 ,APR 2016 ,MAY 2016 ,JUN 2016 ,JUL 2016 ,AUG 2016 ,SEP 2016 ,OCT 2016 ,NOV 2016 ,DEC 2016 ,JAN 2017 ,FEB 2017 ,MAR 2017 ,APR 2017 ,MAY 2017 ,JUN 2017 ,JUL 2017 ,AUG 2017 ,SEP 2017 ,OCT 2017 ,NOV 2017 ,DEC 2017 ,JAN 2018 ,FEB 2018 ,MAR 2018 ,APR 2018 ,MAY 2018 ,JUN 2018 ,JUL 2018 ,AUG 2018 ,SEP 2018 ,OCT 2018 ,NOV 2018 ,DEC 2018 ,JAN 2019 ,FEB 2019 ,MAR 2019 ,APR 2019 ,MAY 2019 ,JUN 2019 ,JUL 2019 ,AUG 2019 p,SEP 2019 p,OCT 2019 p,NOV 2019 p,Q1/2015 ,Q2/2015 ,Q3/2015 ,Q4/2015 ,Q1/2016 ,Q2/2016 ,Q3/2016 ,Q4/2016 ,Q1/2017 ,Q2/2017 ,Q3/2017 ,Q4/2017 ,Q1/2018 ,Q2/2018 ,Q3/2018 ,Q4/2018 ,Q1/2019 ,Q2/2019 ,Q3/2019 p,2015 ,2016 ,2017 ,2018 
1,1.  Number of foreign tourists visiting Thailand (in thousands) ,2613.69,2664.21,2555.36,2406.72,2301.62,2269.52,2641.51,2589.65,2044.65,2245.84,2566.07,3024.29,2996.44,3080.53,2927.22,2627.80,2459.09,2422.99,2949.10,2883.59,2416.82,2252.77,2452.45,3060.74,3197.05,2966.52,3018.41,2853.29,2600.62,2731.07,3099.41,3188.15,2600.28,2725.94,3039.57,3571.66,3531.48,3552.12,3494.64,3096.07,2737.83,3013.30,3177.09,3229.03,2636.12,2704.00,3171.00,3835.51,3718.50,3603.65,3473.09,3195.01,2726.81,3052.29,3327.20,3466.46,2902.73,3042.28,3358.59,7833.27,6977.87,7275.82,7836.20,9004.20,7509.90,8249.51,7765.97,9181.99,8184.98,8887.84,9337.17,10578.25,8847.20,9042.23,9710.51,10795.25,8974.10,9696.38,29923.18,32529.59,35591.98,38178.19
2,2.  Accommodation occupancy rate (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,   Total,72.70,71.99,68.31,68.29,61.69,59.71,59.71,58.58,57.13,63.42,66.89,73.04,74.51,73.12,70.59,71.43,64.97,62.63,62.74,62.54,60.43,60.89,66.75,73.28,76.27,73.71,71.45,72.57,66.05,63.60,64.15,65.15,63.37,63.61,70.00,76.49,79.56,77.95,75.49,76.40,68.72,65.99,65.17,66.01,63.69,65.31,71.72,77.91,81.26,79.76,74.83,76.89,69.51,65.98,65.80,63.04,63.25,67.37,69.93,71.00,63.20,58.50,67.80,72.70,66.30,61.90,66.97,73.81,67.41,64.22,70.03,77.67,70.37,64.95,71.65,77.16,69.83,64.08,65.10,66.99,70.58,71.16
4,   Central (including Bangkok),71.93,69.64,67.15,67.85,64.46,61.19,62.55,61.95,58.85,66.18,69.56,73.35,78.08,76.31,74.36,76.53,72.21,67.99,69.68,69.57,66.08,65.95,72.05,76.73,79.16,74.95,73.38,76.58,72.34,67.77,70.66,72.46,69.36,68.82,75.26,80.09,83.09,81.24,78.58,81.64,75.64,70.52,71.41,73.00,69.04,69.90,76.31,81.13,83.77,82.84,78.53,82.54,76.10,69.73,71.89,70.38,69.09,72.01,74.18,73.90,69.00,65.00,73.60,76.30,72.20,68.40,70.86,75.83,70.84,65.19,65.16,80.97,75.93,71.15,75.78,83.01,77.57,70.71,70.40,72.13,73.50,75.96
5,   South,75.86,77.77,73.78,74.53,62.95,62.13,58.14,57.59,57.52,62.04,64.08,73.92,78.01,78.36,76.21,76.83,66.08,64.73,60.71,61.26,60.76,58.94,63.78,73.23,76.74,78.22,76.96,78.29,67.05,66.56,62.49,63.32,62.66,61.29,66.53,75.48,78.63,80.21,80.45,81.32,69.51,68.57,63.33,63.88,62.63,61.88,68.51,77.26,79.59,82.31,80.96,82.63,69.76,68.82,64.24,60.22,62.47,64.01,65.94,75.80,66.50,57.80,66.70,77.50,69.20,60.90,65.32,77.31,70.63,62.82,67.77,79.76,73.13,63.28,69.22,80.92,73.60,62.24,66.70,68.24,69.63,71.35
6,   North,66.49,63.19,56.89,53.95,46.46,45.18,47.93,45.26,44.45,53.92,60.05,66.67,68.55,64.79,59.91,56.79,49.03,49.25,51.45,49.44,47.55,53.37,62.44,71.30,74.44,68.66,63.28,59.58,52.32,51.17,52.55,51.59,51.23,55.86,66.38,75.60,77.80,71.97,65.88,62.15,54.60,53.44,54.00,53.29,53.06,57.75,69.38,77.17,79.40,73.26,58.71,58.18,55.78,54.28,54.39,50.69,50.84,60.10,69.65,62.20,48.50,45.90,60.20,64.40,51.70,49.50,62.37,68.79,54.36,51.79,65.94,71.88,56.73,53.45,68.10,70.29,55.78,51.83,54.20,56.99,60.22,62.54
7,   Northeast,58.39,58.06,54.62,52.71,48.75,48.62,51.40,51.45,50.33,56.06,56.42,59.31,60.45,59.46,56.24,54.47,52.21,51.80,53.62,53.40,52.52,54.61,58.04,61.43,64.69,62.93,59.10,56.92,53.99,53.85,55.29,55.88,54.98,57.12,60.86,64.51,69.06,65.62,61.72,59.48,56.10,56.05,57.68,58.10,57.25,64.38,63.38,66.70,71.28,66.23,63.48,61.39,57.98,57.33,58.32,54.67,56.13,65.78,62.20,57.00,50.00,51.10,57.30,58.70,52.80,53.20,58.00,62.24,54.92,55.38,60.83,65.47,57.21,57.68,64.82,66.82,58.87,56.35,53.80,55.68,58.34,61.30
8,3.  3-month advanced booking rate (percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,   Total,16.09,12.50,10.41,9.26,9.50,8.97,7.26,7.19,11.61,13.26,13.35,16.75,34.30,31.60,33.00,30.80,30.00,24.20,23.10,22.30,23.30,24.45,24.88,26.98,33.20,31.36,34.45,31.62,27.49,26.05,26.32,24.39,28.80,30.29,29.46,29.85,36.53,35.74,40.13,31.91,34.02,32.81,26.01,26.05,27.98,39.49,32.39,32.73,36.71,36.13,35.16,27.89,31.94,31.26,28.69,25.53,25.93,36.45,32.28,13.00,9.24,8.69,14.45,32.92,28.30,22.90,25.45,33.00,28.87,26.51,29.86,35.40,31.30,25.72,33.19,34.32,29.05,26.11,11.35,27.41,29.49,31.32
10,   Central (including Bangkok),21.46,20.52,12.79,11.49,13.45,9.59,11.43,13.95,15.38,19.38,20.18,21.51,39.20,35.50,38.20,37.40,36.60,29.10,29.10,28.30,27.20,28.99,28.48,30.26,37.88,33.64,39.13,36.50,34.04,31.30,32.73,30.80,34.80,35.60,32.40,32.36,39.77,39.66,46.43,38.56,40.88,38.72,28.22,28.96,31.70,43.76,35.20,35.69,39.82,38.92,43.06,32.81,37.34,38.43,34.42,29.12,28.76,43.64,33.56,18.26,11.51,13.59,20.36,37.61,34.33,28.19,29.26,36.95,34.50,32.83,33.40,39.40,37.60,29.29,36.91,38.53,34.87,30.37,15.93,32.37,34.38,35.81
